Postcode,Dwelling Type,FQ_Sales_Price,Median_Sales_Price,TQ_Sales_Price,Mean_Sales_Price,Sales_No,Qtly_Median_Change,Annual_Median_Change,Qtly_Count_Change,Annual_Count_Change,Year,Quarter
2224,Non Strata,1719,1880,2900,2408,40,7.89%,-1.70%,81.82%,53.85%,2023,Q2
2224,Strata,-,-,-,-,-,-,-,-,-,2023,Q2
2225,Total,1421,1803,2224,1953,-,15.08%,8.52%,83.33%,37.50%,2023,Q2
2225,Non Strata,1700,1840,2253,2091,-,17.48%,10.78%,50.00%,12.50%,2023,Q2
2225,Strata,-,-,-,-,-,-,-,-,-,2023,Q2
2226,Total,1183,1443,1688,1417,42,-3.80%,-1.16%,27.27%,13.51%,2023,Q2
2226,Non Strata,1396,1543,1746,1577,32,-0.48%,-4.78%,28.00%,28.00%,2023,Q2
2226,Strata,-,-,-,-,-,-,-,-,-,2023,Q2
2227,Total,1018,1519,1963,1538,63,16.13%,2.64%,46.51%,18.87%,2023,Q2
2227,Non Strata,1641,1905,2179,1981,36,13.39%,-2.31%,89.47%,33.33%,2023,Q2
2227,Strata,736,965,1098,948,-,6.63%,3.51%,12.50%,3.85%,2023,Q2
2228,Total,748,1100,1691,1223,94,-5.17%,4.76%,1.08%,-16.07%,2023,Q2
2228,Non Strata,1644,1753,1975,1813,36,4.63%,-4.76%,0.00%,-10.00%,2023,Q2
2228,Strata,700,760,908,856,58,-4.76%,-6.03%,1.75%,-19.44%,2023,Q2
2229,Total,816,1449,1953,1465,158,-14.78%,-17.21%,20.61%,13.67%,2023,Q2
2229,Non Strata,1783,2100,2404,2143,67,-3.23%,-12.59%,-2.90%,-6.94%,2023,Q2
2229,Strata,711,842,1218,966,91,-17.85%,-6.44%,46.77%,35.82%,2023,Q2
2230,Total,900,1295,2000,1650,138,12.12%,-30.93%,10.40%,-0.72%,2023,Q2
2230,Non Strata,2106,3000,3463,2921,38,11.11%,10.60%,8.57%,5.56%,2023,Q2
2230,Strata,796,1046,1397,1166,100,6.68%,-21.09%,11.11%,-2.91%,2023,Q2
2231,Total,-,-,-,-,-,-,-,-,-,2023,Q2
2231,Non Strata,-,-,-,-,-,-,-,-,-,2023,Q2
2232,Total,679,880,1371,1062,148,-15.38%,-18.14%,33.33%,3.50%,2023,Q2
2232,Non Strata,1348,1460,1749,1551,55,-3.63%,-8.75%,25.00%,-9.84%,2023,Q2
2232,Strata,650,691,870,773,93,-7.87%,-5.34%,38.81%,13.41%,2023,Q2
2233,Total,989,1201,1361,1146,108,4.39%,-4.87%,56.52%,-7.69%,2023,Q2
2233,Non Strata,1170,1267,1403,1289,75,3.85%,-7.85%,47.06%,-1.32%,2023,Q2
2233,Strata,650,825,960,820,33,20.00%,-6.25%,83.33%,-19.51%,2023,Q2
2234,Total,1095,1365,1603,1357,71,1.04%,-9.00%,-1.39%,-23.66%,2023,Q2
2234,Non Strata,1355,1510,1706,1539,48,5.59%,-5.63%,-15.79%,-34.25%,2023,Q2
2234,Strata,925,1000,1085,977,-,8.70%,0.76%,53.33%,15.00%,2023,Q2
2250,Total,635,780,971,851,294,1.30%,-7.69%,11.36%,-10.37%,2023,Q2
2250,Non Strata,775,900,1100,993,188,2.80%,-6.25%,13.25%,-4.08%,2023,Q2
2250,Strata,496,587,669,599,106,8.36%,-4.88%,8.16%,-19.70%,2023,Q2
2251,Total,995,1330,1630,1389,103,10.83%,-1.48%,-2.83%,-12.71%,2023,Q2
2251,Non Strata,998,1325,1623,1387,91,8.16%,-7.02%,-3.19%,-11.65%,2023,Q2
2251,Strata,793,1413,1669,1408,-,58.26%,101.79%,0.00%,-20.00%,2023,Q2
2256,Total,663,840,1015,939,66,-6.20%,-10.69%,1.54%,-10.81%,2023,Q2
2256,Non Strata,859,988,1329,1133,38,-5.50%,-3.89%,-20.83%,-29.63%,2023,Q2
2256,Strata,605,655,735,675,-,0.77%,-15.59%,64.71%,40.00%,2023,Q2
2257,Total,890,1028,1300,1131,138,8.16%,-15.78%,7.81%,12.20%,2023,Q2
2257,Non Strata,970,1190,1395,1253,97,17.24%,-8.60%,11.49%,10.23%,2023,Q2
2257,Strata,753,830,920,841,41,0.00%,-11.70%,0.00%,17.14%,2023,Q2
2258,Total,691,856,1325,1022,-,-16.49%,-25.40%,11.11%,42.86%,2023,Q2
2258,Non Strata,816,1020,1475,1153,-,-15.00%,-24.72%,0.00%,25.00%,2023,Q2
2258,Strata,-,-,-,-,-,-,-,-,-,2023,Q2
2259,Total,665,760,895,798,225,1.06%,-13.14%,3.69%,-3.02%,2023,Q2
2259,Non Strata,696,800,911,828,198,2.30%,-9.91%,-0.50%,-10.00%,2023,Q2
2259,Strata,548,580,613,573,-,1.22%,-4.93%,50.00%,125.00%,2023,Q2
2260,Total,1076,1353,1893,1557,102,-3.39%,-14.13%,5.15%,-9.73%,2023,Q2
2260,Non Strata,1200,1455,1933,1671,71,1.75%,-8.49%,-5.33%,-5.33%,2023,Q2
2260,Strata,850,950,1463,1297,31,-20.83%,-29.63%,40.91%,-18.42%,2023,Q2
2261,Total,739,898,1150,964,230,3.22%,-5.97%,15.58%,4.07%,2023,Q2
2261,Non Strata,830,970,1230,1066,169,7.78%,-11.82%,9.03%,-3.43%,2023,Q2
2261,Strata,555,650,770,681,61,-2.48%,11.11%,38.64%,32.61%,2023,Q2
2262,Total,630,680,775,700,73,2.72%,-6.29%,-16.09%,-6.41%,2023,Q2
2262,Non Strata,634,683,775,701,72,3.10%,-5.94%,-17.24%,-7.69%,2023,Q2
2262,Strata,-,-,-,-,-,-,-,-,-,2023,Q2
2263,Total,648,720,843,756,95,3.23%,-4.06%,-12.04%,-10.38%,2023,Q2
2263,Non Strata,660,747,854,783,84,3.46%,-5.74%,-9.68%,-2.33%,2023,Q2
2263,Strata,503,530,613,552,-,4.95%,-0.93%,-26.67%,-45.00%,2023,Q2
2264,Total,705,830,988,873,61,-1.48%,-7.00%,1.67%,-25.61%,2023,Q2
2264,Non Strata,715,830,989,887,59,-3.49%,-9.78%,7.27%,-24.36%,2023,Q2
2264,Strata,-,-,-,-,-,-,-,-,-,2023,Q2
2265,Total,703,789,1240,955,-,-6.07%,-4.36%,-14.81%,-11.54%,2023,Q2
2265,Non Strata,703,789,1240,955,-,-6.07%,-4.36%,-14.81%,-11.54%,2023,Q2
2267,Total,-,-,-,-,-,-,-,-,-,2023,Q2
2267,Non Strata,-,-,-,-,-,-,-,-,-,2023,Q2
2278,Total,-,-,-,-,-,-,-,-,-,2023,Q2
2278,Non Strata,-,-,-,-,-,-,-,-,-,2023,Q2
2280,Total,715,795,1015,876,81,-0.75%,-13.59%,-8.99%,-6.90%,2023,Q2
2280,Non Strata,725,825,1061,907,69,-2.94%,-11.05%,-12.66%,-11.54%,2023,Q2
2280,Strata,559,653,775,699,-,5.24%,-17.92%,20.00%,33.33%,2023,Q2
2281,Total,850,1000,1300,1083,49,-3.61%,-0.99%,-5.77%,-10.91%,2023,Q2
2281,Non Strata,871,1050,1319,1117,46,-0.47%,1.55%,-2.13%,0.00%,2023,Q2
2281,Strata,-,-,-,-,-,-,-,-,-,2023,Q2
2282,Total,733,849,1166,946,62,-11.56%,-16.56%,14.81%,40.91%,2023,Q2
2282,Non Strata,848,1050,1320,1086,41,-0.47%,-3.23%,13.89%,13.89%,2023,Q2
2282,Strata,605,675,790,673,-,-17.93%,4.17%,16.67%,162.50%,2023,Q2
2283,Total,640,715,890,831,81,0.35%,-9.49%,14.08%,-28.95%,2023,Q2
2283,Non Strata,649,724,900,843,77,-3.47%,-8.93%,28.33%,-20.62%,2023,Q2
2283,Strata,-,-,-,-,-,-,-,-,-,2023,Q2
2284,Total,720,843,1106,938,36,9.06%,7.32%,16.13%,-29.41%,2023,Q2
2284,Non Strata,723,850,1113,950,35,9.32%,8.21%,25.00%,-30.00%,2023,Q2
2284,Strata,-,-,-,-,-,-,-,-,-,2023,Q2
2285,Total,638,717,836,744,123,-0.76%,-8.08%,28.13%,-12.77%,2023,Q2
2285,Non Strata,660,750,866,759,112,3.09%,-3.91%,19.15%,-15.15%,2023,Q2
2285,Strata,523,570,631,582,-,11.76%,-10.94%,450.00%,22.22%,2023,Q2
2286,Total,593,753,831,702,-,3.79%,-0.79%,14.29%,14.29%,2023,Q2
2286,Non Strata,593,753,831,702,-,3.79%,-0.79%,14.29%,14.29%,2023,Q2
2287,Total,646,742,885,774,160,8.25%,2.28%,13.48%,5.26%,2023,Q2
2287,Non Strata,700,770,900,812,129,4.05%,0.92%,20.56%,4.88%,2023,Q2
2287,Strata,589,610,644,612,31,-1.13%,1.45%,-8.82%,6.90%,2023,Q2
2289,Total,774,865,985,885,76,-6.74%,-8.47%,15.15%,-12.64%,2023,Q2
2289,Non Strata,793,921,1000,940,58,-3.11%,-6.07%,1.75%,-15.94%,2023,Q2
2289,Strata,595,718,813,708,-,-10.31%,-10.59%,100.00%,0.00%,2023,Q2
2290,Total,700,853,1035,912,132,6.56%,-5.86%,21.10%,-8.33%,2023,Q2
2290,Non Strata,800,903,1100,982,104,4.03%,-11.74%,26.83%,-3.70%,2023,Q2
2290,Strata,575,635,700,652,-,-0.32%,-7.30%,3.70%,-22.22%,2023,Q2
2291,Total,924,1500,2088,1574,51,-1.96%,7.14%,-3.77%,-30.14%,2023,Q2
2291,Non Strata,1468,1925,2210,1907,35,0.26%,1.96%,-5.41%,-25.53%,2023,Q2
2291,Strata,658,868,951,845,-,6.64%,13.32%,0.00%,-38.46%,2023,Q2
2292,Total,675,711,1000,854,-,-7.72%,-24.76%,183.33%,30.77%,2023,Q2
2292,Non Strata,-,-,-,-,-,-,-,-,-,2023,Q2
2292,Strata,-,-,-,-,-,-,-,-,-,2023,Q2
2293,Total,880,1000,1075,994,-,29.87%,-2.91%,-35.00%,-58.06%,2023,Q2
2293,Non Strata,-,-,-,-,-,-,-,-,-,2023,Q2
2293,Strata,-,-,-,-,-,-,-,-,-,2023,Q2
2294,Total,-,-,-,-,-,-,-,-,-,2023,Q2
2294,Non Strata,-,-,-,-,-,-,-,-,-,2023,Q2
2295,Total,860,975,1113,1022,-,10.80%,-9.30%,-12.90%,8.00%,2023,Q2
2295,Non Strata,860,975,1113,1022,-,9.55%,-7.14%,-10.00%,17.39%,2023,Q2
2296,Total,684,904,954,834,-,12.24%,-2.32%,200.00%,9.09%,2023,Q2
2296,Non Strata,-,-,-,-,-,-,-,-,-,2023,Q2
2296,Strata,-,-,-,-,-,-,-,-,-,2023,Q2
2297,Total,-,-,-,-,-,-,-,-,-,2023,Q2
2297,Non Strata,-,-,-,-,-,-,-,-,-,2023,Q2
2298,Total,645,740,815,724,33,-7.73%,-7.50%,-13.16%,-29.79%,2023,Q2
2298,Non Strata,715,755,880,792,-,-9.04%,-9.04%,-19.35%,-32.43%,2023,Q2
2298,Strata,-,-,-,-,-,-,-,-,-,2023,Q2
2299,Total,650,750,885,778,43,0.00%,-3.85%,-14.00%,-8.51%,2023,Q2
2299,Non Strata,675,765,890,818,37,-3.20%,-7.83%,8.82%,2.78%,2023,Q2
2299,Strata,-,-,-,-,-,-,-,-,-,2023,Q2
2300,Total,655,840,1275,1073,71,0.45%,-11.58%,1.43%,-29.70%,2023,Q2
2300,Non Strata,1463,2200,2730,2147,-,40.13%,15.79%,-25.00%,-42.86%,2023,Q2
2300,Strata,604,770,1120,855,59,-2.22%,-6.95%,9.26%,-26.25%,2023,Q2
2302,Total,636,690,804,696,-,13.11%,-8.31%,33.33%,-25.00%,2023,Q2
2302,Strata,636,690,804,696,-,13.11%,-8.31%,33.33%,-25.00%,2023,Q2
2303,Total,1000,1290,1864,1448,31,35.79%,5.31%,34.78%,14.81%,2023,Q2
2303,Non Strata,1053,1350,1867,1471,-,14.89%,3.85%,76.47%,30.43%,2023,Q2
2303,Strata,-,-,-,-,-,-,-,-,-,2023,Q2
2304,Total,655,765,907,780,61,-1.73%,-8.93%,1.67%,-24.69%,2023,Q2
2304,Non Strata,752,850,935,861,41,2.41%,-3.70%,-12.77%,-37.88%,2023,Q2
2304,Strata,521,600,674,614,-,1.61%,9.00%,53.85%,33.33%,2023,Q2
2305,Total,768,955,1153,982,63,0.47%,3.35%,65.79%,36.96%,2023,Q2
2305,Non Strata,938,1100,1200,1094,45,12.82%,-3.51%,45.16%,50.00%,2023,Q2
2305,Strata,579,645,826,699,-,46.59%,-3.37%,157.14%,12.50%,2023,Q2
2306,Total,-,-,-,-,-,-,-,-,-,2023,Q2
2306,Non Strata,-,-,-,-,-,-,-,-,-,2023,Q2
2307,Total,585,635,685,628,-,-1.55%,-4.51%,21.43%,-10.53%,2023,Q2
2307,Non Strata,625,680,710,661,-,1.49%,-4.90%,10.00%,-35.29%,2023,Q2
2307,Strata,-,-,-,-,-,-,-,-,-,2023,Q2
2311,Total,-,-,-,-,-,-,-,-,-,2023,Q2
2311,Non Strata,-,-,-,-,-,-,-,-,-,2023,Q2
2312,Total,-,-,-,-,-,-,-,-,-,2023,Q2
2312,Non Strata,-,-,-,-,-,-,-,-,-,2023,Q2
2315,Total,750,873,1100,943,92,-9.11%,-3.06%,8.24%,-17.12%,2023,Q2
2315,Non Strata,818,940,1186,1003,56,-11.74%,-14.55%,3.70%,-5.08%,2023,Q2
2315,Strata,720,788,925,851,36,9.38%,40.31%,16.13%,-30.77%,2023,Q2
2316,Total,-,-,-,-,-,-,-,-,-,2023,Q2
2316,Non Strata,-,-,-,-,-,-,-,-,-,2023,Q2
2317,Total,653,830,1005,865,39,-20.95%,-3.77%,34.48%,-20.41%,2023,Q2
2317,Non Strata,793,860,1055,972,-,-31.47%,-7.03%,27.78%,-41.03%,2023,Q2
2317,Strata,559,616,723,711,-,2.67%,2.07%,45.45%,60.00%,2023,Q2
2318,Total,815,975,1245,1014,49,12.07%,21.88%,32.43%,28.95%,2023,Q2
2318,Non Strata,815,975,1245,1014,49,12.07%,21.88%,32.43%,28.95%,2023,Q2
2319,Total,580,663,745,660,31,-1.85%,-6.36%,-16.22%,-13.89%,2023,Q2
2319,Non Strata,580,663,745,660,31,-2.21%,-6.36%,-13.89%,-13.89%,2023,Q2
2320,Total,588,710,880,801,147,3.27%,4.41%,-6.96%,-27.59%,2023,Q2
2320,Non Strata,600,723,900,836,133,1.40%,-0.28%,-2.21%,-22.67%,2023,Q2
2320,Strata,380,483,563,465,-,-7.21%,7.22%,-36.36%,-54.84%,2023,Q2
2321,Total,643,719,823,761,88,-2.91%,-7.88%,20.55%,14.29%,2023,Q2
2321,Non Strata,678,730,833,782,79,-2.67%,-6.41%,17.91%,3.95%,2023,Q2
2321,Strata,-,-,-,-,-,-,-,-,-,2023,Q2
2322,Total,558,739,889,760,100,4.09%,9.00%,21.95%,19.05%,2023,Q2
2322,Non Strata,597,753,881,758,88,1.69%,8.66%,20.55%,12.82%,2023,Q2
2322,Strata,524,548,1289,778,-,16.60%,0.32%,33.33%,100.00%,2023,Q2
2323,Total,596,680,829,823,98,-0.73%,-3.99%,7.69%,-15.52%,2023,Q2
2323,Non Strata,615,688,815,728,77,-2.83%,-7.09%,1.32%,-23.76%,2023,Q2
2323,Strata,495,535,2500,1170,-,3.78%,-4.46%,40.00%,40.00%,2023,Q2
2324,Total,553,661,826,734,106,5.76%,1.54%,-0.93%,-18.46%,2023,Q2
2324,Non Strata,567,678,858,759,90,4.43%,-0.37%,4.65%,-23.73%,2023,Q2
2324,Strata,443,624,650,597,-,41.70%,44.16%,-23.81%,33.33%,2023,Q2
2325,Total,516,594,690,622,134,8.45%,-1.04%,21.82%,-17.79%,2023,Q2
2325,Non Strata,523,600,700,630,127,9.09%,-1.64%,27.00%,-13.61%,2023,Q2
2325,Strata,-,-,-,-,-,-,-,-,-,2023,Q2
2326,Total,554,595,655,602,-,6.25%,-2.46%,-16.67%,-44.44%,2023,Q2
2326,Non Strata,554,595,655,602,-,6.25%,-2.46%,-16.67%,-44.44%,2023,Q2
2327,Total,505,565,665,578,-,6.60%,-5.04%,-24.24%,-41.86%,2023,Q2
2327,Non Strata,500,575,670,581,-,3.60%,-4.17%,-7.69%,-33.33%,2023,Q2
2327,Strata,-,-,-,-,-,-,-,-,-,2023,Q2
2328,Total,-,-,-,-,-,-,-,-,-,2023,Q2
2328,Non Strata,-,-,-,-,-,-,-,-,-,2023,Q2
2329,Total,-,-,-,-,-,-,-,-,-,2023,Q2
2329,Non Strata,-,-,-,-,-,-,-,-,-,2023,Q2
2330,Total,625,705,995,871,90,14.63%,19.49%,2.27%,-26.83%,2023,Q2
2330,Non Strata,634,706,953,796,72,8.62%,12.06%,2.86%,-32.08%,2023,Q2
2330,Strata,401,542,2100,1170,-,52.14%,50.56%,0.00%,5.88%,2023,Q2
2333,Total,368,450,540,452,88,-2.17%,3.45%,6.02%,-39.31%,2023,Q2
2333,Non Strata,394,473,550,476,74,2.72%,7.39%,8.82%,-42.64%,2023,Q2
2333,Strata,258,324,410,326,-,-27.30%,-16.73%,-6.67%,-12.50%,2023,Q2
2334,Total,530,603,670,577,-,9.55%,-9.06%,-26.67%,-38.89%,2023,Q2
2334,Non Strata,530,603,670,577,-,9.55%,-9.06%,-26.67%,-38.89%,2023,Q2
2335,Total,608,693,988,820,34,-0.72%,-18.77%,54.55%,-15.00%,2023,Q2
2335,Non Strata,634,703,1019,839,32,-5.07%,-17.60%,52.38%,-20.00%,2023,Q2
2335,Strata,-,-,-,-,-,-,-,-,-,2023,Q2
2336,Total,380,438,546,465,-,3.67%,1.74%,140.00%,0.00%,2023,Q2
2336,Non Strata,380,438,546,465,-,3.67%,1.74%,140.00%,0.00%,2023,Q2
2337,Total,420,600,670,553,37,10.09%,27.66%,60.87%,-13.95%,2023,Q2
2337,Non Strata,435,600,671,560,36,10.09%,27.66%,56.52%,-16.28%,2023,Q2
2337,Strata,-,-,-,-,-,-,-,-,-,2023,Q2
2338,Total,-,-,-,-,-,-,-,-,-,2023,Q2
2338,Non Strata,-,-,-,-,-,-,-,-,-,2023,Q2
2340,Total,396,490,624,522,250,7.69%,6.52%,26.90%,-13.79%,2023,Q2
2340,Non Strata,406,500,630,532,237,4.17%,6.38%,32.40%,-11.57%,2023,Q2
2340,Strata,302,340,365,347,-,6.25%,1.49%,-27.78%,-40.91%,2023,Q2
2341,Total,-,-,-,-,-,-,-,-,-,2023,Q2
2341,Non Strata,-,-,-,-,-,-,-,-,-,2023,Q2
2342,Total,-,-,-,-,-,-,-,-,-,2023,Q2
2342,Non Strata,-,-,-,-,-,-,-,-,-,2023,Q2
2343,Total,275,328,380,339,-,2.34%,-7.09%,55.56%,-22.22%,2023,Q2
2343,Non Strata,256,331,380,343,-,3.44%,-6.10%,44.44%,-27.78%,2023,Q2
2343,Strata,-,-,-,-,-,-,-,-,-,2023,Q2
2346,Total,-,-,-,-,-,-,-,-,-,2023,Q2
2346,Non Strata,-,-,-,-,-,-,-,-,-,2023,Q2
2347,Total,-,-,-,-,-,-,-,-,-,2023,Q2
2347,Non Strata,-,-,-,-,-,-,-,-,-,2023,Q2
2350,Total,400,493,639,523,122,-6.19%,2.60%,15.09%,-28.24%,2023,Q2
2350,Non Strata,429,535,640,560,106,1.88%,7.40%,21.84%,-25.35%,2023,Q2
2350,Strata,221,275,370,281,-,-50.00%,-6.78%,-15.79%,-42.86%,2023,Q2
2352,Total,-,-,-,-,-,-,-,-,-,2023,Q2
2352,Non Strata,-,-,-,-,-,-,-,-,-,2023,Q2
2353,Total,-,-,-,-,-,-,-,-,-,2023,Q2
2353,Non Strata,-,-,-,-,-,-,-,-,-,2023,Q2
2354,Total,-,-,-,-,-,-,-,-,-,2023,Q2
2354,Non Strata,-,-,-,-,-,-,-,-,-,2023,Q2
2357,Total,210,248,260,231,-,-16.99%,-3.31%,-33.33%,-50.00%,2023,Q2
2357,Non Strata,210,248,260,231,-,-16.99%,-3.31%,-33.33%,-50.00%,2023,Q2
2358,Total,405,525,598,520,-,15.38%,14.13%,187.50%,0.00%,2023,Q2
2358,Non Strata,405,525,598,520,-,15.38%,14.13%,187.50%,0.00%,2023,Q2
2360,Total,315,383,429,402,58,7.75%,2.82%,18.37%,-24.68%,2023,Q2
2360,Non Strata,315,383,429,402,58,7.75%,1.73%,18.37%,-23.68%,2023,Q2
2361,Total,-,-,-,-,-,-,-,-,-,2023,Q2
2361,Non Strata,-,-,-,-,-,-,-,-,-,2023,Q2
2365,Total,356,377,507,445,-,2.59%,6.95%,-17.65%,-22.22%,2023,Q2
2365,Non Strata,356,377,507,445,-,2.59%,6.95%,-17.65%,-22.22%,2023,Q2
2370,Total,305,370,443,396,31,2.78%,10.45%,10.71%,-13.89%,2023,Q2
2370,Non Strata,305,370,443,396,31,2.78%,10.45%,10.71%,-13.89%,2023,Q2
2371,Total,-,-,-,-,-,-,-,-,-,2023,Q2
2371,Non Strata,-,-,-,-,-,-,-,-,-,2023,Q2
2372,Total,380,460,525,454,-,6.48%,15.00%,7.14%,-48.28%,2023,Q2
2372,Non Strata,380,460,525,454,-,6.48%,15.00%,7.14%,-48.28%,2023,Q2
2380,Total,379,472,596,499,48,8.96%,22.54%,14.29%,-18.64%,2023,Q2
2380,Non Strata,374,475,598,502,47,9.70%,23.38%,11.90%,-17.54%,2023,Q2
2380,Strata,-,-,-,-,-,-,-,-,-,2023,Q2
2381,Total,-,-,-,-,-,-,-,-,-,2023,Q2
2381,Non Strata,-,-,-,-,-,-,-,-,-,2023,Q2
2382,Total,-,-,-,-,-,-,-,-,-,2023,Q2
2382,Non Strata,-,-,-,-,-,-,-,-,-,2023,Q2
2388,Total,158,250,350,430,-,25.00%,24.38%,240.00%,54.55%,2023,Q2
2388,Non Strata,158,250,350,430,-,25.00%,24.38%,240.00%,54.55%,2023,Q2
2390,Total,364,403,583,466,32,-8.52%,5.23%,39.13%,-23.81%,2023,Q2
2390,Non Strata,364,403,583,466,32,-8.52%,5.23%,39.13%,-23.81%,2023,Q2
2395,Total,-,-,-,-,-,-,-,-,-,2023,Q2
2395,Non Strata,-,-,-,-,-,-,-,-,-,2023,Q2
2400,Total,170,285,434,327,36,-14.93%,3.64%,-12.20%,-38.98%,2023,Q2
2400,Non Strata,168,290,438,332,35,-9.37%,-0.94%,-12.50%,-35.19%,2023,Q2
2400,Strata,-,-,-,-,-,-,-,-,-,2023,Q2
2402,Total,-,-,-,-,-,-,-,-,-,2023,Q2
2402,Non Strata,-,-,-,-,-,-,-,-,-,2023,Q2
2403,Total,-,-,-,-,-,-,-,-,-,2023,Q2
2403,Non Strata,-,-,-,-,-,-,-,-,-,2023,Q2
2404,Total,-,-,-,-,-,-,-,-,-,2023,Q2
2404,Non Strata,-,-,-,-,-,-,-,-,-,2023,Q2
2405,Total,-,-,-,-,-,-,-,-,-,2023,Q2
2405,Non Strata,-,-,-,-,-,-,-,-,-,2023,Q2
2409,Total,-,-,-,-,-,-,-,-,-,2023,Q2
2409,Non Strata,-,-,-,-,-,-,-,-,-,2023,Q2
2420,Total,540,1075,1315,981,-,39.61%,85.34%,-13.33%,-27.78%,2023,Q2
2420,Non Strata,540,1075,1315,981,-,39.61%,85.34%,-13.33%,-27.78%,2023,Q2
2421,Total,-,-,-,-,-,-,-,-,-,2023,Q2
2421,Non Strata,-,-,-,-,-,-,-,-,-,2023,Q2
2422,Total,414,549,738,626,34,1.11%,-11.53%,70.00%,17.24%,2023,Q2
2422,Non Strata,414,549,738,626,34,1.11%,-11.53%,70.00%,17.24%,2023,Q2
2423,Total,-,-,-,-,-,-,-,-,-,2023,Q2
2423,Non Strata,-,-,-,-,-,-,-,-,-,2023,Q2
2425,Total,-,-,-,-,-,-,-,-,-,2023,Q2
2425,Non Strata,-,-,-,-,-,-,-,-,-,2023,Q2
2426,Total,-,-,-,-,-,-,-,-,-,2023,Q2
2426,Non Strata,-,-,-,-,-,-,-,-,-,2023,Q2
2427,Total,599,663,740,702,-,-18.15%,-19.39%,38.89%,13.64%,2023,Q2
2427,Non Strata,599,715,800,720,-,-11.73%,-13.33%,16.67%,0.00%,2023,Q2
2427,Strata,-,-,-,-,-,-,-,-,-,2023,Q2
2428,Total,550,710,879,772,145,0.00%,-7.79%,13.28%,-14.71%,2023,Q2
2428,Non Strata,683,823,1144,909,86,7.87%,-1.50%,2.38%,-25.22%,2023,Q2
2428,Strata,450,565,673,572,59,-9.53%,-8.13%,34.09%,7.27%,2023,Q2
2429,Total,469,558,773,649,36,11.95%,2.76%,24.14%,-14.29%,2023,Q2
2429,Non Strata,469,558,773,649,36,11.95%,2.76%,24.14%,-14.29%,2023,Q2
2430,Total,460,554,767,616,138,-1.29%,-16.69%,-10.39%,-27.37%,2023,Q2
2430,Non Strata,470,579,811,640,120,-1.46%,-15.36%,-11.11%,-24.05%,2023,Q2
2430,Strata,323,466,550,455,-,21.10%,-18.91%,-5.26%,-43.75%,2023,Q2
2431,Total,558,760,858,740,-,4.11%,6.29%,80.00%,22.73%,2023,Q2
2431,Non Strata,675,798,868,798,-,8.87%,5.28%,28.57%,0.00%,2023,Q2
2431,Strata,-,-,-,-,-,-,-,-,-,2023,Q2
2439,Total,-,-,-,-,-,-,-,-,-,2023,Q2
2439,Non Strata,-,-,-,-,-,-,-,-,-,2023,Q2
2440,Total,400,492,700,562,73,-1.60%,4.68%,14.06%,-19.78%,2023,Q2
2440,Non Strata,400,492,700,567,69,-1.60%,0.41%,11.29%,-14.81%,2023,Q2
2440,Strata,-,-,-,-,-,-,-,-,-,2023,Q2
2441,Total,-,-,-,-,-,-,-,-,-,2023,Q2
2441,Non Strata,-,-,-,-,-,-,-,-,-,2023,Q2
2443,Total,575,700,857,701,47,-3.31%,-5.34%,9.30%,23.68%,2023,Q2
2443,Non Strata,589,745,920,734,37,-2.23%,-1.32%,2.78%,2.78%,2023,Q2
2443,Strata,-,-,-,-,-,-,-,-,-,2023,Q2
2444,Total,628,735,880,780,211,-7.26%,-4.55%,1.44%,-20.68%,2023,Q2
2444,Non Strata,730,833,950,883,133,-2.00%,-4.80%,-8.28%,-19.88%,2023,Q2
2444,Strata,529,583,672,605,78,-6.80%,0.43%,23.81%,-22.00%,2023,Q2
2445,Total,800,937,1016,932,-,-2.01%,4.08%,47.37%,64.71%,2023,Q2
2445,Non Strata,811,939,1035,963,-,-1.75%,4.36%,15.79%,29.41%,2023,Q2
2445,Strata,-,-,-,-,-,-,-,-,-,2023,Q2
2446,Total,623,815,1013,865,59,12.41%,-1.39%,25.53%,9.26%,2023,Q2
2446,Non Strata,639,830,1025,877,57,12.54%,0.42%,29.55%,5.56%,2023,Q2
2446,Strata,-,-,-,-,-,-,-,-,-,2023,Q2
2447,Total,500,700,888,718,-,6.06%,-1.41%,-48.57%,-18.18%,2023,Q2
2447,Non Strata,500,700,888,718,-,0.72%,-12.39%,-45.45%,-10.00%,2023,Q2
2448,Total,501,637,768,663,31,2.06%,-5.98%,-3.12%,-26.19%,2023,Q2
2448,Non Strata,565,700,780,724,-,7.69%,1.08%,-13.79%,-30.56%,2023,Q2
2448,Strata,-,-,-,-,-,-,-,-,-,2023,Q2
2449,Total,-,-,-,-,-,-,-,-,-,2023,Q2
2449,Non Strata,-,-,-,-,-,-,-,-,-,2023,Q2
2450,Total,588,735,879,763,164,1.34%,-3.54%,12.33%,-21.53%,2023,Q2
2450,Non Strata,720,810,930,862,105,-2.99%,-7.51%,16.67%,-25.00%,2023,Q2
2450,Strata,491,545,643,587,59,-1.71%,-6.03%,5.36%,-14.49%,2023,Q2
2452,Total,653,763,850,760,50,7.39%,4.10%,6.38%,-24.24%,2023,Q2
2452,Non Strata,673,786,851,792,40,-1.75%,1.42%,11.11%,-16.67%,2023,Q2
2452,Strata,-,-,-,-,-,-,-,-,-,2023,Q2
2453,Total,523,652,756,645,-,10.96%,-13.46%,10.00%,-8.33%,2023,Q2
