Postcode,Dwelling Type,FQ_Sales_Price,Median_Sales_Price,TQ_Sales_Price,Mean_Sales_Price,Sales_No,Qtly_Median_Change,Annual_Median_Change,Qtly_Count_Change,Annual_Count_Change,Year,Quarter
2060,Total,955,1400,2075,1810,67,-5.08%,12.45%,-36.19%,-28.72%,2022,Q1
2060,Non Strata,3285,3825,4628,4089,-,-9.47%,4.08%,-33.33%,-33.33%,2022,Q1
2060,Strata,845,1300,1588,1312,55,-7.14%,18.18%,-36.78%,-27.63%,2022,Q1
2061,Total,1241,1850,2805,2182,31,2.78%,1.79%,-34.04%,-24.39%,2022,Q1
2061,Strata,1241,1850,2805,2182,31,2.78%,10.86%,-34.04%,-22.50%,2022,Q1
2062,Total,1240,1525,2200,1968,-,-12.00%,-0.49%,-43.14%,-34.09%,2022,Q1
2062,Non Strata,-,-,-,-,-,-,-,-,-,2022,Q1
2062,Strata,1190,1425,1547,1480,-,-4.04%,16.56%,-38.89%,-21.43%,2022,Q1
2063,Total,1460,4100,5808,4114,-,-6.82%,51.85%,-62.86%,-60.61%,2022,Q1
2063,Non Strata,-,-,-,-,-,-,-,-,-,2022,Q1
2063,Strata,-,-,-,-,-,-,-,-,-,2022,Q1
2064,Total,956,1050,1143,1290,-,-7.08%,-17.97%,-39.13%,3.70%,2022,Q1
2064,Non Strata,-,-,-,-,-,-,-,-,-,2022,Q1
2064,Strata,932,1050,1115,1060,-,-4.37%,-4.98%,-25.71%,44.44%,2022,Q1
2065,Total,900,1240,1880,1632,159,-0.1733,-0.1014,-0.4718,-0.0914,2022,Q1
2065,Non Strata,2923,3440,4425,3695,-,-0.86%,22.42%,-51.79%,-44.90%,2022,Q1
2065,Strata,829,1117,1476,1210,132,-13.45%,2.43%,-46.12%,4.76%,2022,Q1
2066,Total,765,953,1785,1624,144,-4.75%,4.56%,-43.08%,-32.39%,2022,Q1
2066,Non Strata,3179,3585,4158,3730,36,-1.92%,15.01%,-50.00%,-35.71%,2022,Q1
2066,Strata,729,841,1063,922,108,-4.43%,6.46%,-40.33%,-31.21%,2022,Q1
2067,Total,1022,1676,3000,1979,94,17.99%,12.94%,-12.96%,4.44%,2022,Q1
2067,Non Strata,2944,3121,3530,3172,37,-3.22%,15.85%,0.00%,8.82%,2022,Q1
2067,Strata,825,1150,1500,1204,57,7.48%,9.06%,-19.72%,1.79%,2022,Q1
2068,Total,2700,3120,4050,3229,53,-4.73%,19.88%,-27.40%,-24.29%,2022,Q1
2068,Non Strata,2915,3300,4100,3610,45,-6.52%,1.54%,-19.64%,-6.25%,2022,Q1
2068,Strata,-,-,-,-,-,-,-,-,-,2022,Q1
2069,Total,1490,2965,4038,3014,40,-18.77%,19.80%,-37.50%,5.26%,2022,Q1
2069,Non Strata,2965,3575,4690,3916,-,-11.95%,10.00%,-49.06%,-6.90%,2022,Q1
2069,Strata,990,1120,1460,1142,-,14.05%,-2.61%,18.18%,44.44%,2022,Q1
2070,Total,1150,2050,3600,2481,41,-39.39%,-18.00%,-26.79%,-38.81%,2022,Q1
